datetime,Time,headline,ticker,sentiment
01/16/2020,05:25:00,$MMM fell on hard times but could be set to rebound soon.  ,MMM,0
01/11/2020,06:43:00,Wolfe Research Upgrades 3M $MMM to ¡§Peer Perform¡¨ ,MMM,1
01/09/2020,09:37:00,3M $MMM Upgraded to ¡§Peer Perform¡¨ by Wolfe Research  #stocks,MMM,1
01/08/2020,17:01:00,$MMM #insideday follow up as it also opened up with a nice candle that closed just over the prior day's high and th¡K ,MMM,1
01/08/2020,07:44:00,$MMM is best #dividend #stock out there and down 40% in 2019 $XLI go go please ,MMM,0
01/06/2020,15:54:00,$MMM - 3M: The Fallen Dividend King Will Be Back. Read more and sign up for updates:  #trading #economy #investing,MMM,1
01/02/2020,14:35:00,$MMMcelebrates New Year with 7 month high close on volume up above long-term support/resistance off 5 day flag #3M¡K ,MMM,1
01/02/2020,10:13:00,$MMM above 180 baby is going higher ,MMM,1
12/28/2019,15:04:00,"$MMMhasn't really done much this year, but it looks like a series of higher highs forming with the recent close ab¡K ",MMM,1
12/27/2019,00:28:00,3M $MMM Rating Increased to Neutral at JPMorgan Chase & Co. ,MMM,1
12/25/2019,01:14:00,3M $MMM Stock Rating Upgraded by JPMorgan Chase & Co. ,MMM,1
12/24/2019,05:01:00,3M $MMM Upgraded to Neutral by JPMorgan Chase & Co. ,MMM,1
12/23/2019,15:03:00,$MMM higher higher in move above both long term support/resistance line & 200MA on heavy volume in 2nd day of break¡K ,MMM,1
12/23/2019,13:51:00,"Highlight: $MMM ""is one of the best-performing Dow stocks,"" @scottgamm says, ""after JP Morgan upgraded the stock to¡K ",MMM,1
12/23/2019,12:52:00,#cina tairff cut will help $MMM ,MMM,0
12/23/2019,12:27:00,$MMM gets upgrade from TUSA #JPM  ,MMM,1
12/23/2019,09:36:00,"3M upgrade, Valeritas downgrades among today's top calls $MMM $ROK $RC $VLRX $MITO  ",MMM,0
12/23/2019,07:31:00,JPMorgan's Tusa Upgrades 3M On Neutral On 'More Stable' 2020 Earnings $MMM ,MMM,1
12/23/2019,05:34:00,Trading Ideas: $MMM Bullish upgrade from JP Morgans Tusa  ?? FREE trade-of-week via ?¡K ,MMM,1
12/23/2019,05:39:00,3M $MMM Upgraded to ¡§Neutral¡¨ at JPMorgan Chase & Co.  #stocks,MMM,1
12/23/2019,05:08:00,JPMorgan's Tusa upgrades 3M on Neutral on 'more stable' 2020 earnings $MMM ,MMM,1
12/23/2019,04:48:00,"???? $MMM UPGRADED TO NEUTRAL AT JPM, $150 PT",MMM,1
12/23/2019,04:36:00,$MMM up $6 since casually mentioning it should be pumped last Wednesday lolStill looks good - upgraded this AM (of course),MMM,1
12/16/2019,03:50:00,3M $MMM Cut to Sell at UBS Group ,MMM,0
12/15/2019,06:36:00,3M $MMM Cut to ¡§Sell¡¨ at UBS Group ,MMM,0
12/15/2019,01:21:00,The industry average ROE is 10.96%. $MMM outperforms 98% of its industry peers.  ,MMM,1
12/14/2019,07:05:00,3M $MMM Lowered to Sell at UBS Group ,MMM,0
12/13/2019,07:06:00,3M $MMM Upgraded by Zacks Investment Research to Hold ,MMM,1
12/13/2019,07:05:00,3M $MMM Raised to ¡§Hold¡¨ at Zacks Investment Research  #stocks,MMM,1
12/13/2019,04:38:00,3M $MMM Downgraded to ¡§Neutral¡¨ at Citigroup   #markets,MMM,0
12/13/2019,04:15:00,3M $MMM Downgraded to ¡§Neutral¡¨ at Citigroup ,MMM,0
12/12/2019,09:04:00,The industry average ROA is -8.10%. $MMM outperforms 91% of its industry peers.  ,MMM,1
12/12/2019,06:24:00,"$MMM UBS analyst Markus Mittermaier downgraded 3M to Sell from Neutral with a price target of $160, down from $180.¡K ",MMM,0
12/12/2019,05:52:00,3M $MMM Downgraded by UBS Group to ¡§Sell¡¨  #stocks,MMM,0
12/09/2019,06:44:00,$MMM Citi analyst Andrew Kaplowitz downgraded 3M to Neutral from Buy with an unchanged price target of $180.,MMM,0
12/09/2019,05:58:00,$MMM - 3M slips 1% as Citi downgrades stock ,MMM,0
12/09/2019,05:52:00,3M $MMM Downgraded to Neutral at Citigroup  #stocks,MMM,0
12/09/2019,04:54:00,???? $MMM DOWNGRADED TO NEUTRAL AT CITI,MMM,0
12/06/2019,08:43:00,3M higher after Bloomberg says running auction for drug delivery unit $MMM ,MMM,1
12/06/2019,02:48:00,"3M Co $MMM EVP Sells $1,135,654.11 in Stock ",MMM,0
12/05/2019,02:43:00,"Julie L. Bushman Sells 6,879 Shares of 3M Co $MMM Stock ",MMM,0
12/04/2019,07:20:00,3M $MMM PT Raised to $176.00 ,MMM,1
12/04/2019,05:06:00,"3M Co $MMM EVP Julie L. Bushman Sells 6,879 Shares  #stocks",MMM,0
12/03/2019,15:53:00,"3M Co $MMM EVP Sells $1,135,654.11 in Stock   #markets",MMM,0
12/03/2019,15:49:00,"3M Co $MMM EVP Sells $1,135,654.11 in Stock  #stocks",MMM,0
11/18/2019,01:18:00,$MMM - 3M Company's 3.50% Dividend Yield Looks Attractive. Sign up for updates on Seeking Alpha!¡K ,MMM,1
11/17/2019,04:54:00,"3M Co $MMM SVP Ty R. Silberhorn Sells 1,634 Shares  #stocks",MMM,0
11/17/2019,04:50:00,"3M Co $MMM SVP Sells $278,956.48 in Stock ",MMM,0
11/14/2019,23:43:00,Recent Analysts¡¦ Ratings Updates for 3M $MMM  #stocks,MMM,1
11/13/2019,22:00:00,3M Co $MMM Declares Quarterly Dividend of $1.44  #stocks,MMM,1
11/13/2019,20:34:00,3M Co Declares Quarterly Dividend of $1.44 $MMM ,MMM,1
11/13/2019,20:30:00,3M Co $MMM Declares $1.44 Quarterly Dividend ,MMM,1
11/13/2019,03:45:00,$MMM - 3M declares $1.44 dividend ,MMM,1
11/11/2019,21:35:00,$MMM - 3M: A Solid Opportunity For Dividend Growth Investors. Get more updates here:  ,MMM,1
11/06/2019,10:35:00,"Insider Selling: 3M Co $MMM EVP Sells 3,362 Shares of Stock  #stocks",MMM,0
11/06/2019,03:43:00,$MMM $IBM:The Best Dividend Stocks To Buy In November:,MMM,1
10/30/2019,00:31:00,3M $MMM PT Lowered to $157.00 ,MMM,0
10/29/2019,07:32:00,Barclays Trims 3M $MMM Target Price to $157.00  #stocks,MMM,0
10/29/2019,01:42:00,Q4 2019 EPS Estimates for 3M Co $MMM Cut by William Blair   #markets,MMM,0
10/28/2019,23:13:00,$MMM $IBM:The Best Dividend Stocks To Buy During Earnings Season:,MMM,1
10/26/2019,14:27:00,3M $MMM Price Target Cut to $165.00 by Analysts at Royal Bank of Canada ,MMM,0
10/26/2019,14:23:00,3M $MMM Price Target Cut to $165.00  #stocks,MMM,0
10/26/2019,11:07:00,3M $MMM Price Target Cut to $165.00 by Analysts at Morgan Stanley  #stocks,MMM,0
10/26/2019,11:05:00,3M $MMM Price Target Cut to $165.00 by Analysts at Morgan Stanley ,MMM,0
10/26/2019,09:57:00,3M $MMM Shares Gap Down to $168.76   #markets,MMM,0
10/25/2019,16:37:00,"3M $MMM Posts Earnings Results, Beats Estimates By $0.09 EPS ",MMM,1
10/25/2019,05:01:00,3M $MMM PT Lowered to $165 at Morgan Stanley ,MMM,0
10/24/2019,12:23:00,3M $MMM ¡V Investment Analysts¡¦ Weekly Ratings Updates  #stocks,MMM,1
10/24/2019,05:57:00,"3M revenue down 2% over the past year, 5th consecutive quarter of negative YoY growth. $MMM ",MMM,0
10/24/2019,05:47:00,"$MMM (-1.2% pre) 3M's stock falls after revenue miss, lowered earnings outlook - MW",MMM,0
10/24/2019,05:16:00,"3M Investors Pull Back On Mixed Q3 Earnings, Guidance Cut $MMM 3M Q3 Adj. EPS $2.58 Beats $2.49 Estimate, Sales $7¡K ",MMM,0
10/24/2019,03:56:00,Here's what has $MMM down nearly 3%:  ,MMM,0
10/24/2019,03:44:00,This morning's winner for $MMM is Analyst_9717517 who beats 30 other analysts and the Wall Street Consensus - ,MMM,1
10/24/2019,03:44:00,$MMM beats the Estimize EPS Consensus by 13c and misses the Estimize Revenue Consensus by $132.35M. Reports FQ3 ear¡K ,MMM,0
10/24/2019,03:39:00,3M Cuts Full Year Profit Guidance Despite Q3 Earnings Beat ; Shares Slump $MMM,MMM,1
10/24/2019,03:34:00,3M $MMM reports earnings: - EPS: $2.72 - Revenue: $7.991B - Cuts forecast,MMM,0
10/24/2019,03:31:00,"$MMM - 3M EPS beats by $0.08, misses on revenue ",MMM,0
10/24/2019,02:19:00,$MMM $AAL $CMCSA $TWTR $V:Dow Futures Grind Higher Ahead of Busy Earnings Slate; Draghi Preps ECB Farewell:,MMM,1
10/22/2019,11:14:00,$MMM $IBM:The Best Dividend Stocks To Buy Ahead Of The Next Fed Rate Cut:,MMM,1
10/19/2019,04:00:00,Citigroup Trims 3M $MMM Target Price to $180.00 ,MMM,0
10/15/2019,11:25:00,3M $MMM Price Target Lowered to $180.00 at Citigroup  #stocks,MMM,0
10/15/2019,08:20:00,#investing Tuesday's Top Analyst Upgrades and Downgrades PART 2 $MMM $TIGO $NVDA $PD $SFIX $TGE $TEX $SKX $PLCE¡K ,MMM,0
10/15/2019,04:54:00,3M $MMM Downgraded to Sell at Zacks Investment Research ,MMM,0
10/14/2019,10:08:00,3M $MMM Cut to ¡§Sell¡¨ at Zacks Investment Research ,MMM,0
10/12/2019,13:59:00,3M $MMM PT Raised to $143.00   #markets,MMM,1
10/10/2019,08:22:00,3M $MMM PT Raised to $143.00 at JPMorgan Chase & Co.  #stocks,MMM,1
10/10/2019,07:53:00,3M $MMM PT Raised to $143.00 ,MMM,1
10/06/2019,11:30:00,Barclays Trims 3M $MMM Target Price to $158.00 ,MMM,0
10/06/2019,11:29:00,Barclays Trims 3M $MMM Target Price to $158.00  #markets,MMM,0
